StateCode,StateName,TerritoryName
AL,Alabama,Southeast
AK,Alaska,West
AZ,Arizona,Southwest
AR,Arkansas,Southeast
CA,California,West
CO,Colorado,Southwest
CT,Connecticut,Northeast
DE,Delaware,Mid-Atlantic
FL,Florida,Southeast
GA,Georgia,Southeast
HI,Hawaii,West
ID,Idaho,West
IL,Illinois,Midwest
IN,Indiana,Midwest
IA,Iowa,Midwest
KS,Kansas,Midwest
KY,Kentucky,Southeast
LA,Louisiana,Southeast
ME,Maine,Northeast
MD,Maryland,Mid-Atlantic
MA,Massachusetts,Northeast
MI,Michigan,Midwest
MN,Minnesota,Midwest
MS,Mississippi,Southeast
MO,Missouri,Midwest
MT,Montana,West
NE,Nebraska,Midwest
NV,Nevada,West
NH,New Hampshire,Northeast
NJ,New Jersey,Mid-Atlantic
NM,New Mexico,Southwest
NY,New York,Northeast
NC,North Carolina,Southeast
ND,North Dakota,Midwest
OH,Ohio,Midwest
OK,Oklahoma,Southwest
OR,Oregon,Pacific Northwest
PA,Pennsylvania,Mid-Atlantic
RI,Rhode Island,Northeast
SC,South Carolina,Southeast
SD,South Dakota,Midwest
TN,Tennessee,Southeast
TX,Texas,Southwest
UT,Utah,Southwest
VT,Vermont,Northeast
VA,Virginia,Mid-Atlantic
WA,Washington,Pacific Northwest
WV,West Virginia,Mid-Atlantic
WI,Wisconsin,Midwest
WY,Wyoming,West
